time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc,antennas,buildings,avg_build_height
2018-12-27 20:17:04,0.0,37.29937722448983,126.96515426530611,11.87817150270566,69.10204081632654,234.91836734693877,304.0204081632653,10.0,22709.918367346938,2.4285714285714284,14133696.321303302,4480918.67135222,0,15,2.0433333333333334
2018-12-27 20:17:05,0.0,37.29934539583332,126.96513456249995,14.217949801609466,67.3125,218.39583333333334,285.7083333333333,9.875,22758.5,2.25,14133694.127996955,4480914.217250564,0,15,2.0433333333333334
2018-12-27 20:17:06,0.0,37.29930655769229,126.96511355769228,16.943673725627384,67.88461538461539,256.38461538461536,324.2692307692308,9.884615384615385,22808.5,2.6923076923076925,14133691.78975246,4480908.782244317,0,15,2.0433333333333334
2018-12-27 20:17:07,0.0,37.29925988888886,126.9650915777778,19.972034370766522,67.02222222222223,229.77777777777777,296.8,9.88888888888889,22857.0,2.6444444444444444,14133689.342959572,4480902.251419533,0,15,2.0433333333333334
2018-12-27 20:17:08,0.0,37.299211959183644,126.96507581632643,19.854154928085016,67.87755102040816,217.3877551020408,285.265306122449,9.36734693877551,22904.0,2.673469387755102,14133687.588402832,4480895.544148575,0,14,2.189285714285714
2018-12-27 20:17:09,0.0,37.29916340816327,126.96505479591835,20.57845499000747,69.18367346938776,223.48979591836735,292.6734693877551,9.816326530612244,22953.0,2.4489795918367347,14133685.248421706,4480888.749935286,0,14,2.189285714285714
2018-12-27 20:17:10,0.0,37.29911799999999,126.96503724444455,19.038104014733065,68.71111111111111,221.55555555555554,290.26666666666665,10.0,23000.0,2.1777777777777776,14133683.29460058,4480882.395536322,0,13,1.4076923076923078
2018-12-27 20:17:11,0.0,37.2990825,126.96502806000002,14.524795348631327,70.64,210.3,280.94,10.0,23047.5,2.14,14133682.272192892,4480877.427684164,0,13,1.4076923076923078
2018-12-27 20:17:12,0.0,37.2990503695652,126.96501321739126,13.718137065596945,69.93478260869566,227.65217391304347,297.5869565217391,9.782608695652174,23095.5,2.1956521739130435,14133680.619921243,4480872.931369288,0,12,1.5250000000000001
2018-12-27 20:17:13,0.0,37.29902417777778,126.96499522222224,11.96173865159436,67.5111111111111,209.6888888888889,277.2,10.0,23141.0,2.466666666666667,14133678.616708193,4480869.26610679,0,11,1.6636363636363638
2018-12-27 20:17:14,0.0,37.29900539215687,126.96496770588242,11.559537468192515,70.56862745098039,204.31372549019608,274.88235294117646,10.0,23189.0,2.3529411764705883,14133675.553603254,4480866.637259427,0,10,1.83
2018-12-27 20:17:15,0.0,37.298992844444435,126.96493464444433,11.677774364954008,69.97777777777777,213.51111111111112,283.4888888888889,9.8,23237.0,2.1333333333333333,14133671.873220801,4480864.881341217,0,8,2.2875
2018-12-27 20:17:16,0.0,37.298986673913056,126.96488982608696,14.500078092163363,69.91304347826087,198.5,268.4130434782609,10.0,23282.5,1.934782608695652,14133666.88406408,4480864.017841425,0,6,3.0500000000000003
