time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id
2018-12-27 20:16:17,0.0,37.29909338297872,126.9680260212765,15.135430575509794,69.16666666666667,865.1666666666666,934.3333333333334,7.833333333333333,6829.166666666667,5.0
2018-12-27 20:16:18,0.0,37.299101,126.96797015555559,18.069136268177616,71.0,895.3333333333334,966.3333333333334,8.0,6836.333333333333,5.0
2018-12-27 20:16:19,0.0,37.29910866666667,126.96790412500002,21.272916553491648,70.33333333333333,874.0,944.3333333333334,9.0,6856.0,5.0
2018-12-27 20:16:20,0.0,37.299117249999995,126.9678397045455,20.822667880167902,69.625,917.0,986.625,8.125,6870.0,5.0
2018-12-27 20:16:21,0.0,37.29912476595742,126.96777606382977,20.510381918032643,69.5,907.625,977.125,8.375,6885.125,5.0
2018-12-27 20:16:22,0.0,37.29913096000004,126.96772220000004,17.349729797571513,67.4,954.4,1021.8,9.0,6896.4,5.0
2018-12-27 20:16:23,0.0,37.299131977777805,126.9676798888888,13.49451654056762,66.81818181818181,967.2727272727273,1034.090909090909,9.0,6914.0,5.0
2018-12-27 20:16:24,0.0,37.29913189361706,126.96763987234054,12.756912385892436,65.8,947.4,1013.2,10.0,6926.6,5.0
2018-12-27 20:16:25,0.0,37.29913006382981,126.96760023404266,12.65754431115095,67.22222222222223,898.8888888888889,966.1111111111111,9.333333333333334,6941.888888888889,5.0
2018-12-27 20:16:26,0.0,37.299132937500026,126.96755608333336,14.121831339087445,70.0,944.7,1014.7,8.3,6957.9,5.0
2018-12-27 20:16:27,0.0,37.29913926086955,126.96750047826086,17.906544889087556,71.33333333333333,570.6666666666666,642.0,9.0,6974.333333333333,5.0
2018-12-27 20:16:28,0.0,37.29914706976741,126.96745134883722,15.971541296245068,71.625,219.25,290.875,9.0,6991.375,5.0
2018-12-27 20:16:29,0.0,37.299151955555544,126.96740304444451,15.522923857680185,66.2,208.5,274.7,9.0,7002.5,5.0
2018-12-27 20:16:30,0.0,37.29915463265306,126.96734559183679,18.346695284666264,67.0,233.85714285714286,300.85714285714283,9.0,7017.714285714285,5.0
2018-12-27 20:16:31,0.0,37.299159895833334,126.96727820833327,21.584469291411093,67.11111111111111,235.44444444444446,302.55555555555554,9.0,7032.333333333333,5.0
2018-12-27 20:16:32,0.0,37.299166893617034,126.96720497872336,23.512680089162902,59.142857142857146,207.85714285714286,267.0,9.0,7047.0,5.0
2018-12-27 20:16:33,0.0,37.29917592156864,126.96712123529414,26.94057593013902,72.375,226.875,299.25,9.0,7062.75,5.0
