time,ele,lat,lon,speed,encoding_latency,network_latency,total_latency,number_of_satellites,image_sequence_number,stream_id,x_merc,y_merc
2018-12-27 20:04:41,0.0,37.29081775000001,126.9702015374999,38.65862678518223,66.76923076923077,168.6153846153846,235.3846153846154,10.846153846153847,14039.615384615385,1.0,14134258.181073809,4479720.9265307225
2018-12-27 20:04:42,0.0,37.2908147160494,126.97032948148147,40.80986351097684,65.08333333333333,161.91666666666666,227.0,11.0,14055.25,1.0,14134272.423732689,4479720.502007951
2018-12-27 20:04:43,0.0,37.290810135802495,126.97046541975322,43.379381415328616,66.08333333333333,154.75,220.83333333333334,10.833333333333334,14069.583333333334,1.0,14134287.556311877,4479719.861121114
2018-12-27 20:04:44,0.0,37.290805320987666,126.97060280246923,43.84353759743315,66.76923076923077,158.07692307692307,224.84615384615384,11.0,14085.076923076924,1.0,14134302.84968587,4479719.187412617
2018-12-27 20:04:45,0.0,37.29079940000004,126.97074744999983,46.17827029010105,66.6,151.46666666666667,218.06666666666666,11.0,14100.0,1.0,14134318.95177532,4479718.358923978
2018-12-27 20:04:46,0.0,37.290793609756065,126.97089620731698,47.48430462115645,66.66666666666667,153.46666666666667,220.13333333333333,11.0,14115.0,1.0,14134335.51136412,4479717.5487295855
2018-12-27 20:04:47,0.0,37.29078792857145,126.97104929761906,48.86211304751114,66.85714285714286,153.14285714285714,220.0,11.0,14129.785714285714,1.0,14134352.55329859,4479716.75379528
2018-12-27 20:04:48,0.0,37.29078034567904,126.97121165432105,51.85253178133207,66.66666666666667,161.66666666666666,228.33333333333334,11.0,14145.0,1.0,14134370.626763983,4479715.692766429
2018-12-27 20:04:49,0.0,37.29077285,126.97137448750009,52.002158861172965,66.07692307692308,166.07692307692307,232.15384615384616,11.0,14160.923076923076,1.0,14134388.753270555,4479714.643940931
2018-12-27 20:04:50,0.0,37.29076545569619,126.97154039240506,52.97761478850977,67.42857142857143,159.64285714285714,227.07142857142858,11.0,14174.642857142857,1.0,14134407.221720098,4479713.609300363
2018-12-27 20:04:51,0.0,37.29075815853657,126.97171520731706,55.81208106291054,66.73333333333333,164.66666666666666,231.4,11.0,14190.0,1.0,14134426.682027085,4479712.588252699
2018-12-27 20:04:52,0.0,37.290750597560965,126.9718905000001,55.96982756667573,65.83333333333333,158.25,224.08333333333334,11.0,14205.416666666666,1.0,14134446.1955193,4479711.530290956
2018-12-27 20:04:53,0.0,37.290743426829245,126.97205912195133,53.837702436044104,66.5,168.5,235.0,11.0,14220.285714285714,1.0,14134464.96642905,4479710.526933784
2018-12-27 20:04:54,0.0,37.290736024390256,126.97223136585382,54.99579672666279,66.85714285714286,165.35714285714286,232.21428571428572,11.0,14234.857142857143,1.0,14134484.140532566,4479709.491155314
2018-12-27 20:04:55,0.0,37.29073021249995,126.97239340000014,51.71308154839235,66.3076923076923,156.0,222.30769230769232,11.0,14250.0,1.0,14134502.178091226,4479708.677932764
2018-12-27 20:04:56,0.0,37.29072742500002,126.97255243750001,50.71750285787015,64.0,157.3,221.3,11.0,14264.8,1.0,14134519.882064728,4479708.287894834
2018-12-27 20:04:57,0.0,37.29072761249998,126.97271027499991,50.32266445008735,67.26666666666667,149.26666666666668,216.53333333333333,11.0,14280.0,1.0,14134537.452454844,4479708.314130563
2018-12-27 20:04:58,0.0,37.29072728750004,126.97286463749995,49.214862589939564,66.42857142857143,161.71428571428572,228.14285714285714,11.0,14295.285714285714,1.0,14134554.636009749,4479708.268655297
2018-12-27 20:04:59,0.0,37.29072558024686,126.973017654321,48.790452005598695,67.92857142857143,161.21428571428572,229.14285714285714,11.0,14309.642857142857,1.0,14134571.66976435,4479708.029769738
2018-12-27 20:05:00,0.0,37.290722228915634,126.97316926506012,48.35601672144127,66.28571428571429,156.07142857142858,222.35714285714286,11.0,14324.92857142857,1.0,14134588.546994627,4479707.560838348
2018-12-27 20:05:01,0.0,37.29071739743591,126.97331387179496,46.14494945818674,65.07692307692308,169.84615384615384,234.92307692307693,11.0,14340.153846153846,1.0,14134604.644542715,4479706.884798823
2018-12-27 20:05:02,0.0,37.290712719512214,126.97344897560973,43.115315337250536,66.6923076923077,158.3846153846154,225.07692307692307,11.0,14355.615384615385,1.0,14134619.684230579,4479706.230245497
2018-12-27 20:05:03,0.0,37.290708743902485,126.9735673658537,37.779439134331525,65.53846153846153,160.3846153846154,225.92307692307693,11.0,14369.846153846154,1.0,14134632.863372253,4479705.673962713
2018-12-27 20:05:04,0.0,37.290704821428555,126.97366991666665,32.73358211236598,66.42857142857143,160.85714285714286,227.28571428571428,11.0,14384.92857142857,1.0,14134644.27927653,4479705.125114925
2018-12-27 20:05:05,0.0,37.29070188461535,126.9737521794871,26.25388122216402,66.46153846153847,160.23076923076923,226.69230769230768,10.538461538461538,14399.692307692309,1.0,14134653.436731813,4479704.714184633
2018-12-27 20:05:06,0.0,37.29069948148151,126.97381464197532,19.93790967353835,67.0,163.41666666666666,230.41666666666666,10.916666666666666,14415.0,1.0,14134660.390024196,4479704.37792884
2018-12-27 20:05:07,0.0,37.29069769230768,126.97385329487182,12.344372223705522,66.42857142857143,164.92857142857142,231.35714285714286,11.0,14430.07142857143,1.0,14134664.692844953,4479704.127580715
2018-12-27 20:05:08,0.0,37.29069699999995,126.97387130864189,5.7499476574464605,66.33333333333333,150.0,216.33333333333334,11.0,14445.0,1.0,14134666.698128665,4479704.030710341
2018-12-27 20:05:09,0.0,37.290696999999945,126.97387729268303,1.9078652492008232,67.92307692307692,169.15384615384616,237.07692307692307,11.0,14459.76923076923,1.0,14134667.364269078,4479704.0307103405
2018-12-27 20:05:10,0.0,37.290696999999945,126.97387800000003,0.22551073641040512,67.33333333333333,168.5,235.83333333333334,11.0,14474.583333333334,1.0,14134667.443007246,4479704.0307103405
2018-12-27 20:05:11,0.0,37.290696999999945,126.97387800000003,0.0,66.76923076923077,150.92307692307693,217.69230769230768,10.846153846153847,14490.384615384615,1.0,14134667.443007246,4479704.0307103405
2018-12-27 20:05:12,0.0,37.29069658536584,126.97387879268283,0.30245976597228386,66.92857142857143,160.21428571428572,227.14285714285714,11.0,14504.57142857143,1.0,14134667.53124829,4479703.972693133
