,com,lat,lic,lon,x_merc,y_merc
133,KT4GOUT,37.283639,322012110019126,126.950513,14132066.463104857,4478716.494381754
146,KT4GOUT,37.288731,322012110019093,126.944623,14131410.791304084,4479428.943983908
149,KT4GOUT,37.288808,322012110019124,126.937043,14130566.989563871,4479439.717845578
156,KT4GOUT,37.283608,322012110019095,126.960268,14133152.384737546,4478712.157149646
165,KT4GOUT,37.278838,322015110046276,126.95376,14132427.917491462,4478044.804334124
167,KT4GOUT,37.279522,852013110007498,126.953739,14132425.579782154,4478140.497611971
172,KT4GOUT,37.292714,322015110041905,126.959367,14133052.08587634,4479986.26093119
175,KT4GOUT,37.2927,322012110019094,126.959331,14133048.078374673,4479984.30194473
185,KT4GOUT,37.278031,322015110041862,126.929611,14129739.663108297,4477931.904172778
186,KT4GOUT,37.282322,322015110020213,126.918122,14128460.71347857,4478532.233546909
189,KT4GOUT,37.285675,322015110041842,126.933853,14130211.880388241,4479001.356505786
192,KT4GOUT,37.285742,322012110019128,126.933839,14130210.32191537,4479010.730783289
193,KT4GOUT,37.286698,322012110032201,126.917056,14128342.046901386,4479144.49004016
196,KT4GOUT,37.290007,322012110019780,126.930124,14129796.770007072,4479607.483685546
199,KT4GOUT,37.291442,322016110032222,126.926811,14129427.968534075,4479808.274506612
200,KT4GOUT,37.29178,322015110040198,126.937926,14130665.284674242,4479855.569347868
201,KT4GOUT,37.29178,322015110040197,126.937926,14130665.284674242,4479855.569347868
202,KT4GOUT,37.29178,322012110019129,126.937926,14130665.284674242,4479855.569347868
205,KT4GOUT,37.292019,322012110019123,126.936412,14130496.746965181,4479889.0116863465
208,KT4GOUT,37.29205,322015110041896,126.936456,14130501.645022776,4479893.349403305
210,KT4GOUT,37.277419,322012110032207,126.905473,14127052.633239528,4477846.285526603
214,KT4GOUT,37.278794,322015110053564,126.904617,14126957.34375541,4478038.648655961
216,KT4GOUT,37.279508,322013110026243,126.91222,14127803.705843912,4478138.538968911
217,KT4GOUT,37.279508,322016110007946,126.91222,14127803.705843912,4478138.538968911
227,KT4GOUT,37.283321,322012110032206,126.899613,14126400.301023481,4478672.002859818
236,KT4GOUT,37.285797,322012110032209,126.909197,14127467.187023241,4479018.426091956
240,KT4GOUT,37.286419,322015110056289,126.901742,14126637.30021938,4479105.453428715
241,KT4GOUT,37.276292,322017110036975,126.94818,14131806.754732836,4477688.620331106
242,KT4GOUT,37.276269,322016110013665,126.94756,14131737.736648543,4477685.402698634
243,KT4GOUT,37.276269,322016110013662,126.94756,14131737.736648543,4477685.402698634
244,KT4GOUT,37.274642,322016110052222,126.947297,14131708.459622467,4477457.792669963
250,KT4GOUT,37.277928,322016110052221,126.954972,14132562.836714305,4477917.494449947
253,KT4GOUT,37.27792,322012110019109,126.954945,14132559.831088053,4477916.375248999
254,KT4GOUT,37.27792,322015110034024,126.954945,14132559.831088053,4477916.375248999
255,KT4GOUT,37.277382,322015110046237,126.954287,14132486.58286311,4477841.109258219
256,KT4GOUT,37.277382,322012110019120,126.954287,14132486.58286311,4477841.109258219
261,KT4GOUT,37.277214,322016110052214,126.954261,14132483.688556349,4477817.606233772
270,KT4GOUT,37.278655,322012110020234,126.952533,14132291.32847626,4478019.202332678
273,KT4GOUT,37.274436,322017110037807,126.956117,14132690.297531262,4477428.974541465
275,KT4GOUT,37.274339,322017110037808,126.9553,14132599.349507285,4477415.404867489
278,KT4GOUT,37.273986,322015110006594,126.942202,14131141.286816873,4477366.022593296
283,KT4GOUT,37.274854,322014110046343,126.942562,14131181.36183356,4477487.450243764
284,KT4GOUT,37.274854,322014110046344,126.942562,14131181.36183356,4477487.450243764
285,KT4GOUT,37.274854,322014110046345,126.942562,14131181.36183356,4477487.450243764
286,KT4GOUT,37.275459,322015110037629,126.942689,14131195.499408891,4477572.086703747
287,KT4GOUT,37.275459,852016110008845,126.942689,14131195.499408891,4477572.086703747
288,KT4GOUT,37.275459,322015110037628,126.942689,14131195.499408891,4477572.086703747
289,KT4GOUT,37.275459,322015110037632,126.942689,14131195.499408891,4477572.086703747
291,KT4GOUT,37.278393,322015110066283,126.944328,14131377.952054301,4477982.548209452
292,KT4GOUT,37.278393,322015110066020,126.944328,14131377.952054301,4477982.548209452
298,KT4GOUT,37.275556,322017110051820,126.940421,14130943.026803771,4477585.656579612
311,KT4GOUT,37.276579,322015110041983,126.970604,14134302.982994383,4477728.770871154
312,KT4GOUT,37.276579,322015110016766,126.970604,14134302.982994383,4477728.770871154
314,KT4GOUT,37.278194,322012110020273,126.968744,14134095.92874151,4477954.7079492025
317,KT4GOUT,37.276988,852016110000205,126.969944,14134229.51213046,4477785.989152677
321,KT4GOUT,37.27565,322012110020274,126.969444,14134173.852385065,4477598.806785275
324,KT4GOUT,37.27565,322015110041911,126.969444,14134173.852385065,4477598.806785275
333,KT4GOUT,37.273446,322012110084359,126.962607,14133412.761026513,4477290.480752205
337,KT4GOUT,37.274142,322013110001897,126.954671,14132529.329547577,4477387.845892715
338,KT4GOUT,37.27404,322016110086696,126.954322,14132490.479045289,4477373.576807208
339,KT4GOUT,37.27404,322015110083597,126.954322,14132490.479045289,4477373.576807208
341,KT4GOUT,37.27404,322017110036976,126.954322,14132490.479045289,4477373.576807208
342,KT4GOUT,37.27404,322015110083596,126.954322,14132490.479045289,4477373.576807208
344,KT4GOUT,37.273453,322017110047024,126.953667,14132417.564778818,4477291.4599948265
345,KT4GOUT,37.273453,322017110047042,126.953667,14132417.564778818,4477291.4599948265
346,KT4GOUT,37.273439,322017110047046,126.953654,14132416.11762544,4477289.501509674
355,KT4GOUT,37.273706,322017110020090,126.953312,14132378.046359587,4477326.852682128
358,KT4GOUT,37.273706,322017110020091,126.953312,14132378.046359587,4477326.852682128
359,KT4GOUT,37.273706,322017110036977,126.953312,14132378.046359587,4477326.852682128
360,KT4GOUT,37.275433,852016110008662,126.95392,14132445.728609988,4477568.449420406
362,KT4GOUT,37.273484,322017110025040,126.95265,14132304.352856683,4477295.796641816
363,KT4GOUT,37.273484,322017110025038,126.95265,14132304.352856683,4477295.796641816
369,KT4GOUT,37.274094,322018110014857,126.952292,14132264.500478977,4477381.131026538
370,KT4GOUT,37.274094,322017110054662,126.952292,14132264.500478977,4477381.131026538
371,KT4GOUT,37.27545,322015110083607,126.952497,14132287.32097459,4477570.827643987
372,KT4GOUT,37.27545,322015110083606,126.952497,14132287.32097459,4477570.827643987
379,KT4GOUT,37.277063,322012110020237,126.949714,14131977.518831713,4477796.481536321
381,KT4GOUT,37.277063,322015110039939,126.949714,14131977.518831713,4477796.481536321
388,KT4GOUT,37.274614,322014110050965,126.947944,14131780.483333008,4477453.875638157
393,KT4GOUT,37.272897,322015110034026,126.936252,14130478.935846655,4477213.680435897
394,KT4GOUT,37.272897,322017110023179,126.936252,14130478.935846655,4477213.680435897
396,KT4GOUT,37.272897,322012110019121,126.936252,14130478.935846655,4477213.680435897
398,KT4GOUT,37.272897,322012110019113,126.936252,14130478.935846655,4477213.680435897
399,KT4GOUT,37.273092,322016110006018,126.936261,14130479.937722072,4477240.959172635
405,KT4GOUT,37.273098,322012110019111,126.934592,14130294.145491937,4477241.798519502
407,KT4GOUT,37.275136,322012110019112,126.933797,14130205.646496756,4477526.900542132
408,KT4GOUT,37.275136,322015110046246,126.933797,14130205.646496756,4477526.900542132
411,KT4GOUT,37.276256,322012110019114,126.934051,14130233.921647418,4477683.584037237
416,KT4GOUT,37.277842,322015110006426,126.930156,14129800.332230778,4477905.463045989
419,KT4GOUT,37.274422,322012110020236,126.946593,14131630.090700947,4477427.016030739
420,KT4GOUT,37.274422,322012110020235,126.946593,14131630.090700947,4477427.016030739
422,KT4GOUT,37.274422,852013110017559,126.946593,14131630.090700947,4477427.016030739
424,KT4GOUT,37.274422,322015110040202,126.946593,14131630.090700947,4477427.016030739
426,KT4GOUT,37.274422,852013110017558,126.946593,14131630.090700947,4477427.016030739
427,KT4GOUT,37.274483,322015110040201,126.946472,14131616.621042563,4477435.549544419
436,KT4GOUT,37.272443,852013110017561,126.946023,14131566.638591195,4477150.170214874
437,KT4GOUT,37.272443,322015110040206,126.946023,14131566.638591195,4477150.170214874
438,KT4GOUT,37.272443,322012110020151,126.946023,14131566.638591195,4477150.170214874
439,KT4GOUT,37.272443,322012110020150,126.946023,14131566.638591195,4477150.170214874
446,KT4GOUT,37.274025,322015110055554,126.942261,14131147.854666831,4477371.4784139125
448,KT4GOUT,37.275556,322017110051821,126.940421,14130943.026803771,4477585.656579612
449,KT4GOUT,37.273956,322016110052235,126.942031,14131122.25118395,4477361.825810132
457,KT4GOUT,37.275628,322018110002157,126.938667,14130747.772416918,4477595.729076095
458,KT4GOUT,37.275628,322018110002126,126.938667,14130747.772416918,4477595.729076095
459,KT4GOUT,37.272505,322015110008172,126.941783,14131094.643950231,4477158.843394283
460,KT4GOUT,37.272505,322015110037627,126.941783,14131094.643950231,4477158.843394283
465,KT4GOUT,37.275608,322017110051819,126.938142,14130689.329684252,4477592.931159438
468,KT4GOUT,37.275608,322017110051818,126.938142,14130689.329684252,4477592.931159438
469,KT4GOUT,37.274831,322018110002158,126.938728,14130754.562905857,4477484.232672756
470,KT4GOUT,37.274831,322018110002127,126.938728,14130754.562905857,4477484.232672756
474,KT4GOUT,37.272392,322015110039930,126.939653,14130857.533434844,4477143.035830713
475,KT4GOUT,37.272392,322016110052213,126.939653,14130857.533434844,4477143.035830713
476,KT4GOUT,37.272392,322015110039931,126.939653,14130857.533434844,4477143.035830713
477,KT4GOUT,37.272392,322015110039929,126.939653,14130857.533434844,4477143.035830713
480,KT4GOUT,37.283512,322016110021281,126.895991,14125997.101827824,4478698.725732521
485,KT4GOUT,37.284816,322012110019727,126.888924,14125210.406986391,4478881.170612791
490,KT4GOUT,37.276013,322017110013422,126.894747,14125858.620381277,4477649.589116614
491,KT4GOUT,37.276013,322017110013423,126.894747,14125858.620381277,4477649.589116614
496,KT4GOUT,37.277453,322012110032212,126.886901,14124985.207656516,4477851.042099796
